entry_time,side,entry,stop0,target,exit,outcome,bars_held,be_armed,ambiguous,stop_frac,cost_R,gross_R,unit_net_R,net_R,instrument
2021-09-21 08:00:00-04:00,-1.0,15085.389,15142.389,14914.389,15142.389,stop,6,False,False,0.0037784905646118905,0.04483476350495025,-1.0,-1.0448347635049502,-1.0448347635049502,NAS100
2021-09-23 12:00:00-04:00,1.0,15355.469,15306.791516496613,15501.501450510159,15306.791516496613,stop,1,False,False,0.0031700421200672292,0.051575666522872876,-1.0,-1.0515756665228728,-1.0515756665228728,NAS100
2021-09-23 12:00:00-04:00,1.0,110.178,110.0776998399774,110.4789004800678,110.4789004800678,target,3,False,False,0.0009103465303653956,0.10680184542696682,3.0,2.893198154573033,2.893198154573033,USD/JPY
2021-09-24 00:00:00-04:00,1.0,110.437,110.35341470677605,110.68775587967184,110.35341470677605,stop,1,False,False,0.0007568595056362232,0.12837762399784283,-1.0,-1.128377623997843,-1.128377623997843,USD/JPY
2021-09-24 08:00:00-04:00,1.0,110.553,110.45962316054771,110.83313051835687,110.83313051835687,target,6,False,False,0.0008446341524182069,0.11497003403930223,3.0,2.885029965960698,2.885029965960698,USD/JPY
2021-09-27 08:00:00-04:00,1.0,110.983,110.781,111.589,111.589,target,6,False,False,0.0018200985736554081,0.05331897399689305,3.0,2.946681026003107,2.946681026003107,USD/JPY
2021-09-28 08:00:00-04:00,-1.0,14975.689,15031.910326758953,14807.025019723143,14807.025019723143,target,1,False,False,0.0037541729638584423,0.04560253339333839,3.0,2.9543974666066615,2.9543974666066615,NAS100
2021-09-28 08:00:00-04:00,1.0,111.555,111.429,111.93300000000002,111.429,stop,1,False,False,0.0011294876966519184,0.08581283808609172,-1.0,-1.0858128380860916,-1.0858128380860916,USD/JPY
2021-09-28 08:00:00-04:00,-1.0,1730.228,1738.148,1706.4680000000005,1738.148,stop,1,False,False,0.004577431413663312,0.053878520585150906,-1.0,-1.0538785205851509,-1.0538785205851509,XAU/USD
2021-09-28 12:00:00-04:00,-1.0,14771.239,14855.319,14518.999,14855.319,stop,2,False,False,0.005692142683494589,0.029569074820962205,-1.0,-1.0295690748209623,-1.0295690748209623,NAS100
2021-09-28 12:00:00-04:00,-1.0,111.464,111.62,110.99599999999998,111.62,stop,2,False,False,0.0013995550132778827,0.07564197928876494,-1.0,-1.075641979288765,-1.075641979288765,USD/JPY
2021-09-28 12:00:00-04:00,1.0,1737.758,1731.8741738677934,1755.40947839662,1731.8741738677934,stop,5,False,False,0.003385871986897284,0.07629926539129692,-1.0,-1.0762992653912968,-1.0762992653912968,XAU/USD
